time,signal
6.396,2011
6.4,2026
6.404,2041
6.408,2050
6.412,2059
6.416,2066
6.42,2070
6.424,2073
6.428,2076
6.432,2075
6.436,2075
6.44,2072
6.444,2074
6.448,2075
6.452,2083
6.456,2086
6.46,2085
6.464,2085
6.468,2080
6.472,2081
6.476,2078
6.48,2076
6.484,2079
6.488,2078
6.492,2078
6.496,2078
6.5,2077
6.504,2077
6.508,2077
6.512,2079
6.516,2074
6.52,2072
6.524,2071
6.528,2068
6.532,2067
6.536,2067
6.54,2063
6.544,2064
6.548,2061
6.552,2059
6.556,2055
6.56,2050
6.564,2050
6.568,2046
6.572,2048
6.576,2048
6.58,2060
6.584,2063
6.588,2062
6.592,2061
6.596,2062
6.6,2064
6.604,2064
6.608,2065
6.612,2060
6.616,2048
6.62,2016
6.624,2035
6.628,2157
6.632,2301
6.636,2482
6.64,2781
6.644,2942
6.648,2903
6.652,2903
6.656,2848
6.66,2668
6.664,2487
6.668,2372
6.672,2275
6.676,2168
6.68,2079
6.684,2043
6.688,2030
6.692,2018
6.696,2017
6.7,2013
6.704,2009
6.708,2005
6.712,2005
6.716,2005
6.72,2002
6.724,1994
6.728,1995
6.732,1990
6.736,1985
6.74,1985
6.744,1987
6.748,1986
6.752,1987
6.756,1985
6.76,1986
6.764,1985
6.768,1980
6.772,1979
6.776,1979
6.78,1975
6.784,1971
6.788,1974
6.792,1970
6.796,1967
6.8,1959
6.804,1958
6.808,1954
6.812,1945
6.816,1941
6.82,1943
6.824,1945
6.828,1949
6.832,1950
6.836,1949
6.84,1953
6.844,1956
6.848,1963
6.852,1975
6.856,1983
6.86,1994
6.864,2007
6.868,2022
6.872,2031
6.876,2038
6.88,2048
6.884,2060
6.888,2063
6.892,2067
6.896,2070
6.9,2075
6.904,2072
6.908,2074
6.912,2074
6.916,2075
6.92,2077
6.924,2073
6.928,2073
6.932,2072
6.936,2067
6.94,2064
6.944,2062
6.948,2059
6.952,2065
6.956,2070
6.96,2072
6.964,2067
6.968,2066
6.972,2062
6.976,2058
6.98,2057
6.984,2054
6.988,2055
6.992,2053
6.996,2053
7,2054
7.004,2054
7.008,2056
7.012,2057
7.016,2057
7.02,2056
7.024,2057
7.028,2056
7.032,2056
7.036,2057
7.04,2060
7.044,2060
7.048,2059
7.052,2059
7.056,2058
7.06,2058
7.064,2055
7.068,2057
7.072,2060
7.076,2061
7.08,2067
7.084,2064
7.088,2064
7.092,2063
7.096,2063
7.1,2065
7.104,2062
7.108,2060
7.112,2065
7.116,2063
7.12,2063
7.124,2062
7.128,2062
7.132,2063
7.136,2061
7.14,2054
7.144,2031
7.148,1998
7.152,2001
7.156,2105
7.16,2256
7.164,2418
7.168,2723
7.172,2923
7.176,2852
7.18,2845
7.184,2804
7.188,2664
7.192,2486
7.196,2376
7.2,2294
7.204,2195
7.208,2100
7.212,2046
7.216,2027
7.22,2013
7.224,2006
7.228,2004
7.232,1998
7.236,1992
7.24,1989
7.244,1994
7.248,1990
7.252,1987
7.256,1985
7.26,1986
7.264,1984
7.268,1979
7.272,1983
7.276,1980
7.28,1976
7.284,1973
7.288,1971
7.292,1967
7.296,1964
7.3,1967
7.304,1965
7.308,1965
7.312,1965
7.316,1963
7.32,1964
7.324,1967
7.328,1962
7.332,1962
7.336,1959
7.34,1957
7.344,1953
7.348,1952
7.352,1949
